user,path,time,force_input_raw_y,force_input_raw_x,ppi,robot_pose_z,robotrainer_deviation_left,robot_pose_y,output_data_linear_z,velocity_output_angular_z,output_data_linear_x,virtual_force_resulting_force_y,virtual_force_resulting_force_x,output_data_angular_y,output_data_angular_z,hrv,heart_rate,virtual_force_position_x,virtual_force_position_y,virtual_force_velocity_out_y,virtual_force_velocity_out_x,force_input_scaled_limited_y,force_input_scaled_limited_x,torque_input_scaled_limited_z,path_index_left,path_index_front,virtual_force_resulting_velocity_x,virtual_force_resulting_velocity_y,virtual_force_velocity_in_y,virtual_force_velocity_in_x,ppg_ch1,velocity_output_linear_x,velocity_output_linear_y,ppg_ch2,torque_input_raw_z,ppg_ch0,robotrainer_deviation_right,path_index_right,ppg_ch3,robotrainer_deviation_front,robot_pose_x,total_duration,age_x,age_y,gender
5,10,3.5,-2.83008619121475,62.43941621262,870.1071428571429,2.01625352635125,0.4932916761105,10.031019195676249,89.3380683184375,-0.073758140663355,62.526392007195,-0.00206813723142348,-0.11780424001959568,-2.440538303935125,-1.5344813462050002,,100.25,-0.2636503304199341,10.027818741067186,0.05797330970821106,0.8936579897191308,-0.028075863785085885,0.553285579796825,-0.05638724456494999,,,-0.09339146159884996,-0.0028289527775821424,0.05259868052778553,0.9661129741634531,,0.893657989720375,0.05797330970807875,,-1.6148149859737495,,0.6138111221865,,,0.17862858183705,-0.291882575036175,8.73987007141,39.0,39.0,Weiblich
5,11,6.5,1.8237537624211428,14.610755173587858,1117.2380952380952,-0.1811878543902857,0.33100965743681426,10.060979944959286,83.38421894037857,0.32246679096415715,14.61349119594143,,,-1.2609467476187857,-8.488025372618571,,79.0,,,,,0.01629379480903643,0.14602093630140714,-0.28692045836235713,,,,,,,,0.2944654399707857,0.027538801597120004,,-8.494436090120715,,0.3347962870814643,,,0.5322018533890357,-0.5409016391704285,14.472603797899998,39.0,39.0,Weiblich
5,12,3.5,-3.83809854120375,44.430076935575,,0.4306694348500001,0.2143282046948625,10.3036055065125,191.7694763585875,-0.012547551402225007,44.4424457378375,,,-4.77764630145,-1.3303607346712494,,,,,,,-0.03853879378794999,0.4418526264185,-0.024709742143982506,,,,,,,,0.760933684620875,-0.1084101291265625,,-1.3556121743612504,,0.727828225306375,,,0.0904079618532375,-0.009458106873375005,8.85263085365,39.0,39.0,Weiblich
5,13,8.5,-11.655558657408205,26.086349314219447,,-0.155164636684,0.41430018896189447,10.743109196186111,125.43726909833332,-0.03552123963485556,26.102807839731113,,,-3.1462185857088887,4.2206004934112835,,98.0,,,,,-0.11668226751336722,0.26062099962675556,0.140114546318135,,,,,,,,0.48519407258072217,-0.20325236658068666,,4.213923928238528,,0.8199666126382111,,,0.5500993628823889,-0.3591378394738445,18.2640352249,39.0,39.0,Weiblich
5,14,6.5,0.15265469924071454,29.11051807514786,,1.0155903805635,0.42232105161975714,10.068803457004284,133.01590599740715,0.023927163392771424,29.178792147064286,,,-2.9968910417311325,-3.2186050050135715,,,,,,,0.0009610245902500024,0.2897987822778,-0.08657479899482858,,,,,,,,0.5482256789205714,0.048622148404189,,-3.254759922712786,,0.48558831038480715,,,0.4104702423779571,-0.7092190863844287,14.025793075599998,39.0,39.0,Weiblich
5,15,4.5,2.8311630568790003,36.2753000160377,1662.8333333333335,0.075131074007,0.16874689421861,10.5460574111,205.29191602774,0.012465830711930007,36.4331257218567,-0.27038780832212533,-0.0755265812376426,-5.264195807357099,1.4160215243820002,,50.2,-0.26394830350919474,10.538908150855205,-0.13132569592568813,0.6346456713713783,0.028127846716660004,0.36238879692660203,-0.0018603050767000042,,,-0.061280714953121165,-0.21518196902797646,0.004515295551819232,0.6760428603801893,,0.6346456713712,-0.1313256959256,,1.3526528620770004,,0.7657511693174,,,0.14271189005204,-0.2744889480213,10.4828722477,39.0,39.0,Weiblich
5,16,5.0,2.686624687686181,37.3664870951,1264.9523809523812,0.21090382100545454,0.185624962155,10.596599136818183,168.72957559996365,0.0008463005502000187,37.436539937009094,-0.3459314204175439,-0.12115521848996419,-3.9263704530820913,-4.159535347996364,,30.0,-0.43255573809658365,10.591748015271769,-0.161511522466727,0.6125699810684648,0.02692594066495636,0.36987560886309095,-0.04015010569945455,,,-0.0973465061990517,-0.2750361827172572,0.0034406903659115876,0.6811526989641624,,0.6125699810683636,-0.16151152246668363,,-4.158702510049091,,0.8101054461466363,,,0.13736708588386362,-0.43436475511636363,11.1098237038,39.0,39.0,Weiblich
5,17,4.5,3.2705987564540004,48.743583285863004,1649.625,-0.15099284147609998,0.2159159617013,10.710782172815,199.48319307893001,0.019579500446820008,48.835142319746,-0.49310299508942235,-0.30912575191314345,-5.072051242683,-1.2960931446199992,,108.0,-0.35634944804697233,10.705564734520332,-0.2385306507704305,0.6542738444829788,0.032250133276059995,0.46111147862775004,0.061429805361809996,,,-0.24763152017375148,-0.3942699742630766,0.034668067757782424,0.8233501861663033,,0.6542738444830499,-0.23853065077049002,,-1.2907893489560007,,0.8491580453787,,,0.13266532556302998,-0.35860360540329994,10.0599460602,39.0,39.0,Weiblich
5,18,4.0,-4.102364008457778,49.849947625422224,1127.4166666666665,0.34662891951544444,0.2341898404925333,10.374760792718888,245.72589943823,-0.04752251685222224,49.7675579612,-0.01518103111341176,-0.09143962635948018,-6.039378314902112,-3.6085633015188887,,30.0,-0.5339980698283198,10.374286000866082,-0.08152671773263492,0.7570059411160271,-0.04047093722719999,0.47856245217988896,-0.019622126831766673,,,-0.07409824812389544,-0.010220911204811207,-0.07764289359024147,0.8212728558482625,,0.7570059411154444,-0.08152671773257777,,-3.714657808976666,,0.7163709173021111,,,0.2013526383948111,-0.5504969711434444,9.08276987076,39.0,39.0,Weiblich
5,19,4.5,-7.104390912606699,48.270967823059905,1211.8333333333333,0.28989589850869,0.25522437173886,10.336773591505,198.094536988549,-0.04426734071070001,48.296324464182,0.044870930699322686,-0.18130237726935486,-4.3358934457434,-9.612371557351,,30.0,-0.5767292926518909,10.331151677292493,-0.10977779839366705,0.6534909983417818,-0.07055393267651,0.441803081152311,-0.1082979685142,,,-0.14462568708487403,0.03473353571300312,-0.13859185082876627,0.7523717576453901,,0.6534909983422,-0.10977779839364998,,-9.575955684217,,0.7171296926224999,,,0.20602274609121,-0.5823162068651,10.5344238281,39.0,39.0,Weiblich
